epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5361,2.43872,1.71405,0.64338,3.82819,2.51045,0.93647,0.82051,0.93543,0.40792,0.97074,0.85058,0.94812,0.47443,1.90422,1.92122,0.62344,1.0996,1.51888,0.0004,0.0004,0.0004
2,31.5819,1.33383,0.44872,0.31336,0.77939,1.49559,0.94097,0.96154,0.97252,0.56805,0.93991,0.98718,0.98847,0.64927,1.53862,1.34581,0.4743,0.73979,1.36951,0.000811882,0.000811882,0.000811882
3,47.0777,1.24304,0.29533,0.08306,0.71553,1.44269,0.99048,0.92308,0.98403,0.5426,0.99048,0.92308,0.98403,0.90233,1.5503,0.58299,0.23413,0.72157,1.29836,0.00121545,0.00121545,0.00121545
4,65.6622,1.16823,0.19874,0.04478,0.63033,1.36448,0.9471,0.96154,0.98544,0.4923,0.9471,0.96154,0.98544,0.93772,1.71715,0.34186,0.06206,1.03262,1.60343,0.0016107,0.0016107,0.0016107
5,82.3011,1.19765,0.20716,0.03976,0.66534,1.39329,0.97291,0.92073,0.97732,0.58207,0.97291,0.92073,0.97732,0.86971,1.43681,0.43717,0.07055,0.77481,1.27971,0.0019208,0.0019208,0.0019208
6,96.5522,1.03363,0.18117,0.02545,0.62374,1.25947,0.97348,0.94143,0.98557,0.57143,0.97348,0.94143,0.98557,0.70353,1.52734,0.62697,0.01716,1.22977,1.3612,0.001901,0.001901,0.001901
7,112.232,1.0203,0.14766,0.01752,0.5518,1.24851,0.94185,0.92308,0.98023,0.59509,0.94185,0.92308,0.98283,0.85985,1.41653,0.52728,0.01449,0.88302,1.21848,0.0018812,0.0018812,0.0018812
8,128.372,1.00532,0.13225,0.01383,0.54696,1.25443,0.93446,0.91026,0.95394,0.54724,0.93446,0.91026,0.96892,0.952,1.46793,0.23481,0.032,0.76643,1.33719,0.0018614,0.0018614,0.0018614
9,143.179,0.95255,0.12355,0.01187,0.53711,1.20434,0.96285,0.99697,0.99061,0.59033,0.96285,0.99697,0.99061,0.96464,1.38534,0.24004,0.01092,0.92989,1.24022,0.0018416,0.0018416,0.0018416
10,160.576,0.92372,0.11832,0.00946,0.49618,1.17021,0.92805,0.97436,0.98366,0.57474,0.94933,0.96083,0.98593,0.9441,1.54718,0.27455,0.01026,0.80042,1.32377,0.0018218,0.0018218,0.0018218
11,173.115,0.96506,0.11509,0.00724,0.50751,1.18307,0.94667,0.98718,0.9771,0.60998,0.94667,0.98718,0.97918,0.93634,1.34915,0.32746,0.01006,0.68538,1.18789,0.001802,0.001802,0.001802
12,185.862,0.88744,0.10261,0.00731,0.49051,1.14644,0.99196,0.98718,0.98744,0.61875,0.99196,0.98718,0.98842,0.97763,1.36334,0.17016,0.00973,0.61958,1.20777,0.0017822,0.0017822,0.0017822
13,201.322,0.85605,0.09648,0.0058,0.46344,1.12698,0.9382,0.96154,0.97969,0.55349,0.97028,0.98718,0.98846,0.98045,1.503,0.1721,0.00889,0.64654,1.34585,0.0017624,0.0017624,0.0017624
14,218.507,0.87148,0.09878,0.00645,0.47528,1.15758,0.96687,0.98718,0.99274,0.58463,0.96687,0.98718,0.99274,0.976,1.47726,0.1956,0.01048,0.65481,1.28506,0.0017426,0.0017426,0.0017426
15,231.693,0.8927,0.08225,0.00512,0.46375,1.13876,0.97706,1,0.99487,0.50811,0.97706,1,0.99487,0.98705,1.73035,0.16882,0.01056,0.64075,1.42841,0.0017228,0.0017228,0.0017228
16,246.433,0.82832,0.08548,0.00475,0.4581,1.09736,0.95451,0.97436,0.98375,0.61182,0.95451,0.97436,0.98375,0.98195,1.37802,0.13182,0.00733,0.59812,1.22189,0.001703,0.001703,0.001703
17,261.544,0.78149,0.08173,0.00408,0.42022,1.06301,1,0.98277,0.99475,0.63086,1,0.98277,0.99475,0.99304,1.34444,0.10353,0.00927,0.59255,1.17024,0.0016832,0.0016832,0.0016832
18,275.243,0.79,0.07228,0.00354,0.43448,1.059,0.9741,0.96154,0.99388,0.62926,0.98709,0.97436,0.99414,0.99414,1.43626,0.13059,0.00579,0.60573,1.24596,0.0016634,0.0016634,0.0016634
19,290.379,0.77618,0.07136,0.00338,0.43484,1.06966,0.98608,0.96154,0.9923,0.64429,0.99798,0.97436,0.99345,0.99334,1.34762,0.10275,0.00627,0.60758,1.17128,0.0016436,0.0016436,0.0016436
20,302.929,0.75789,0.07164,0.00309,0.43109,1.04749,0.98058,0.98718,0.99192,0.65379,0.98058,0.98718,0.99192,0.98738,1.36858,0.11681,0.00691,0.6197,1.19441,0.0016238,0.0016238,0.0016238
