epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9796,1.7341,2.53913,8.46813,1.69103,0.75108,0.79487,0.74434,0.38795,0.76319,0.80769,0.76771,0.52848,1.43557,1.43825,4.28252,1.09102,0.0004,0.0004,0.0004
2,35.8276,1.02413,1.06768,1.6939,1.07017,0.71478,0.75641,0.77077,0.3986,0.73901,0.78205,0.8103,0.5335,1.4928,2.49958,5.10142,1.2486,0.000811882,0.000811882,0.000811882
3,54.3475,1.11685,1.079,0.94591,1.06415,0.00523,0.02564,0.0016,0.00053,0.03368,0.01282,0.00211,0.00059,2.51075,6.64218,5.41098,2.829,0.00121545,0.00121545,0.00121545
4,72.3353,1.07301,0.978,0.7835,1.04095,0,0,0,0,0,0,0,0,3.36046,17.2032,5.60987,4.15752,0.0016107,0.0016107,0.0016107
5,87.073,1.07973,1.14379,0.83614,1.09115,0.00026,0.0641,0.00014,3e-05,0,0,0,0,3.93297,16.3622,16.3999,6.24015,0.0019208,0.0019208,0.0019208
6,100.337,1.05814,1.0993,0.88863,1.10514,0.23869,0.0641,0.07111,0.0299,0.37468,0.17949,0.17234,0.07892,2.94001,24.9444,5.52851,3.14547,0.001901,0.001901,0.001901
7,113.93,0.95799,0.95674,0.6487,0.9986,0.71709,0.45501,0.57307,0.31567,0.70999,0.56498,0.69925,0.48167,1.68054,2.14247,3.17951,1.43531,0.0018812,0.0018812,0.0018812
8,136.222,0.86776,0.87398,0.5798,0.95386,0.40637,0.31599,0.25213,0.16567,0.42286,0.32881,0.26364,0.15038,2.03933,2.78284,3.7161,2.75056,0.0018614,0.0018614,0.0018614
9,153.155,0.81792,0.89018,0.52583,0.96112,0.1658,0.28205,0.12715,0.05379,0.20756,0.24359,0.13525,0.06965,2.38516,2.66762,4.08228,2.86559,0.0018416,0.0018416,0.0018416
10,174.407,0.86852,0.82673,0.52993,0.95694,0.6763,0.76923,0.77827,0.47849,0.74329,0.79487,0.81695,0.57211,1.20621,1.01836,1.64975,1.01153,0.0018218,0.0018218,0.0018218
11,192.145,0.80833,0.82585,0.48962,0.92093,0.95064,0.98773,0.99192,0.64899,0.95064,0.98773,0.99192,0.76763,1.16057,1.02503,0.747,0.97293,0.001802,0.001802,0.001802
12,213.55,0.78502,0.78773,0.48905,0.92857,0.84489,0.89744,0.95176,0.58761,0.87475,0.89542,0.96241,0.7248,1.15834,0.95566,0.82057,0.98198,0.0017822,0.0017822,0.0017822
13,230.047,0.75691,0.76407,0.48024,0.94229,0.93479,0.92308,0.97793,0.69657,0.92754,0.98718,0.98476,0.76702,1.00732,0.89948,0.63562,0.90718,0.0017624,0.0017624,0.0017624
