epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.31,1.40593,2.19843,3.94757,1.53581,0.83083,0.47059,0.59006,0.38924,0.83083,0.47059,0.58784,0.43271,1.33195,1.46964,4.5323,1.27045,0.000540649,0.000540649,0.000540649
2,38.4732,1.19966,1.53421,1.70769,1.26599,0.35167,0.44118,0.36802,0.24533,0.35167,0.44118,0.36899,0.26005,1.45274,2.44336,3.58066,1.38802,0.00107461,0.00107461,0.00107461
3,55.0608,1.21207,1.53351,1.45075,1.24903,0.91064,0.89563,0.94471,0.6371,0.92019,0.90584,0.95175,0.71952,1.03859,1.50969,1.38993,1.10357,0.00158656,0.00158656,0.00158656
4,71.7791,1.13654,1.40204,1.21701,1.2412,0.95781,0.82941,0.91715,0.62904,0.92884,0.80398,0.89693,0.60355,1.30372,2.22412,1.05973,1.23913,0.00156798,0.00156798,0.00156798
5,89.3232,1.14039,1.46304,0.93565,1.22388,0.84769,0.90119,0.89932,0.66338,0.84769,0.90119,0.91099,0.65671,1.03862,2.41351,1.09226,1.05422,0.00153497,0.00153497,0.00153497
6,106.076,1.05146,1.34609,0.8548,1.14967,0.88067,0.91837,0.96421,0.693,0.88067,0.91837,0.96003,0.71543,1.01825,1.58244,0.7322,1.07253,0.00150197,0.00150197,0.00150197
7,123.632,1.03901,1.20513,0.86313,1.18066,0.96528,0.95845,0.98321,0.74293,0.96623,0.95594,0.98301,0.77027,0.89117,1.23478,0.64213,0.9574,0.00146896,0.00146896,0.00146896
8,140.097,0.96571,1.18357,0.78963,1.0984,0.89904,0.9639,0.966,0.74853,0.89904,0.9639,0.966,0.74262,0.87455,1.20273,0.63159,0.9693,0.00143595,0.00143595,0.00143595
9,157.003,0.94271,1.23585,0.76611,1.11018,0.79549,0.92857,0.90183,0.68356,0.79549,0.92857,0.90183,0.68994,0.87138,1.41208,1.00512,0.96113,0.00140295,0.00140295,0.00140295
10,174.014,0.85819,1.0706,0.72874,1.06284,0.62845,0.84654,0.8862,0.67184,0.62845,0.84654,0.8862,0.67923,0.97288,1.16374,1.43344,1.00656,0.00136994,0.00136994,0.00136994
11,191.534,0.86643,1.10189,0.7189,1.06994,0.76157,0.88305,0.95084,0.72513,0.76157,0.88305,0.95108,0.74361,0.88771,1.13995,0.86592,0.99605,0.00133693,0.00133693,0.00133693
12,208.354,0.84784,1.01684,0.64485,1.05534,0.941,0.93233,0.97448,0.77537,0.941,0.93233,0.97448,0.79173,0.81971,1.06485,0.70326,0.91769,0.00130393,0.00130393,0.00130393
13,225.291,0.84696,1.00973,0.6234,1.08558,0.93719,0.9541,0.99289,0.75078,0.93719,0.9541,0.99289,0.79551,0.94368,0.97749,0.5666,0.95834,0.00127092,0.00127092,0.00127092
14,242.602,0.84772,0.98191,0.62926,1.05658,0.94709,0.93853,0.99187,0.78439,0.94709,0.93853,0.99187,0.82111,0.7939,0.96928,0.48183,0.90424,0.00123791,0.00123791,0.00123791
